Name,HardClauses,Variables,SoftUnits,cost,UnsatBound
ConsistentQueryAnswering-synthetic-3,197071,62531,48,4311,-4262
ConsistentQueryAnswering-synthetic-5,15787,4554,210,3174,-2963
ConsistentQueryAnswering-synthetic-6,468266,158857,16,3196,-3179
ConsistentQueryAnswering-synthetic-7,585326,198567,20,3326,-3305
ConsistentQueryAnswering-synthetic-8,702386,238277,24,7349,-7324
decision-tree-car-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,0,391874,989885,143,989743
decision-tree-mushroom-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,416484,55299,55,0,56
decision-tree-soybean-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,1816,144,120,22,99
decision-tree-vote-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,602410,321609,6742,6,6737
decision-tree-vote-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,221780,61600,10,0,11
des-cnf.10.p.9,221710,61600,80,10,71
des-cnf.11.p.10,950961,302060,20,11,10
des-cnf.11.p.7,170567,55117,45,11,35
des-cnf.13.p.6,963,309,309,13,297
des-cnf.15.p.3,4766962,1603211,20,15,6
des-cnf.15.p.9,6673728,2244483,28,15,14
des-cnf.16.p.4,412359,30969,1100,16,1085
des-cnf.16.p.5,4416,256,224,16,209
des-cnf.16.p.6,77722,9973,347,16,332
des-cnf.17.p.10,148390,76190,39900,17,39884
des-cnf.17.t.8,148390,76190,39900,17,39884
des-cnf.19.p.10,44622845,14880111,32,19,14
des-cnf.20.d.10,50200661,16740119,36,20,17
des-cnf.20.d.9,23497348,5685342,6389,20,6370
des-cnf.9.p.10,269049,62970,107,9,99
drmx-cryptogen-geffe128_0,6342,324,288,800,-511
drmx-cryptogen-geffe128_2,720123,266805,266805,800,266006
drmx-cryptogen-geffe128_8,1312353,142205,142205,800,141406
drmx-cryptogen-threshold128_0,148390,76190,39900,800,39101
drmx-cryptogen-threshold128_1,7872664,1978494,2251,800,1452
drmx-cryptogen-threshold128_2,12954,171,13,800,-786
drmx-cryptogen-threshold128_6,27,27,27,800,-772
drmx-cryptogen-wolfram72_0,265395,38087,47,9288,-9240
drmx-cryptogen-wolfram72_4,265395,38087,47,9288,-9240
drmx-cryptogen-wolfram72_5,816,264,48,9288,-9239
drmx-cryptogen-wolfram72_8,3295184,236178,300,9288,-8987
drmx-cryptogen-wolfram80_0,148390,76190,39900,11440,28461
drmx-cryptogen-wolfram80_4,148390,76190,39900,11440,28461
drmx-cryptogen-wolfram80_7,148390,76190,39900,11440,28461
drmx-cryptogen-wolfram80_8,740,148,120,11440,-11319
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_0_10_3,12260396,4090009,36,9,28
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_1,28203089,6865806,8254,8,8247
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_4,66419,11594,29,7,23
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_0,270403,60556,3280,6,3275
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_2,148390,76190,39900,6,39895
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_2_10_1,24338,6696,210,8,203
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_4_10_2,55745277,18588527,40,8,33
extension-enforcement-extension-enforcement_strict_com_150_0.05_3_30_0,66894269,22306223,48,33,16
extension-enforcement-extension-enforcement_strict_com_150_0.1_2_15_0,14681160,3540246,3769,26,3744
extension-enforcement-extension-enforcement_strict_com_200_0.05_0_40_1,3757684,898950,1323,26,1298
extension-enforcement-extension-enforcement_strict_com_200_0.05_1_40_1,647385,149706,252,17,236
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_1,80040,13423,31,33,-1
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_4,1463272,450157,301,50,252
extension-enforcement-extension-enforcement_strict_com_200_0.1_0_10_1,286908,64246,3480,35,3446
extension-enforcement-extension-enforcement_strict_com_200_0.2_1_10_0,2535,594,35,16,20
fault-diagnosis-s00641_nan_explicit_3_0,16244,4520,210,58,153
fault-diagnosis-s01423_nan_explicit_4_0,2284858,227749,99,56,44
fault-diagnosis-s01423_nan_explicit_7_0,30497,6025,22,65,-42
fault-diagnosis-s38417_nan_explicit_11_0,346280,77530,4200,68,4133
fault-diagnosis-s38417_nan_explicit_13_0,296795,66460,3600,67,3534
fault-diagnosis-s38417_nan_explicit_18_0,10488,2164,88,63,26
fault-diagnosis-s38417_nan_explicit_27_0,1078571,334172,301,67,235
fault-diagnosis-s38417_nan_explicit_6_0,844,464,464,61,404
fault-diagnosis-s38584_nan_explicit_15_0,7322193,1807086,2258,208,2051
fault-diagnosis-s38584_nan_explicit_16_0,2602,544,72,188,-115
fault-diagnosis-s38584_nan_explicit_18_0,423578,43861,300,186,115
fault-diagnosis-s38584_nan_explicit_25_0,2452540,913900,20,188,-167
fault-diagnosis-s38584_nan_explicit_27_0,356187,79744,4320,203,4118
fault-diagnosis-s38584_nan_explicit_33_0,1520902,164429,86,189,-102
fault-diagnosis-s38584_nan_explicit_46_0,60131,10584,28,172,-143
frb-frb25-13-1.partial,64035,2969,2505,300,2206
frb-frb25-13-2.partial,5111167,1313712,1859,300,1560
frb-frb25-13-3.partial,0,309260,806440,300,806141
frb-frb25-13-4.partial,38680,15720,20,300,-279
frb-frb30-15-3.partial,316613,70888,3840,420,3421
frb-frb30-15-4.partial,428765,95980,5200,420,4781
frb-frb30-15-5.partial,706,349,349,420,-70
frb-frb35-17-1.partial,1254,1731,1731,560,1172
frb-frb35-17-3.partial,249,79,62,560,-497
frb-frb35-17-4.partial,175745,5471,4731,560,4172
frb-frb35-17-5.partial,379270,84910,4600,560,4041
frb-frb40-19-1.partial,405662,90814,4920,720,4201
frb-frb40-19-2.partial,445250,99670,5400,720,4681
frb-frb40-19-4.partial,435290,76000,39900,720,39181
frb-frb40-19-5.partial,58929,23868,3664,720,2945
gen-hyper-tw-GenHyperTW_atv_partial_system,1389394,1806,55,3,53
gen-hyper-tw-GenHyperTW_b01,767947,91700,68,5,64
gen-hyper-tw-GenHyperTW_b02,221760,61600,30,3,28
gen-hyper-tw-GenHyperTW_b06,45996,12764,240,4,237
gen-hyper-tw-GenHyperTW_dubois29,507931,113692,6160,2,6159
gen-hyper-tw-GenHyperTW_grid5,0,463080,1759150,3,1759148
HaplotypeAssembly-splitedReads_0.matrix,1121,265,185,1500,-1314
HaplotypeAssembly-splitedReads_137.matrix,4885768,1184094,1543,90,1454
HaplotypeAssembly-splitedReads_158.matrix,969460,321384,301,173,129
HaplotypeAssembly-splitedReads_160.matrix,439060,97640,5420,186,5235
HaplotypeAssembly-splitedReads_18.matrix,439060,97640,5420,138,5283
HaplotypeAssembly-splitedReads_414.matrix,58929,23868,3664,171,3494
hs-timetabling-SouthAfricaWoodlands2009.xml,87447,35538,5609,0,5610
inconsistency-measurement-im-forgetting-A-2-WS_300_16_90_30.tgf.pl,240,147,147,34,114
inconsistency-measurement-im-forgetting-T-2-stb_265_466.tgf.pl,60054,24168,3619,36,3584
inconsistency-measurement-im-hit-A-2-WS_300_16_90_30.tgf.pl,87447,35538,5609,34,5576
inconsistency-measurement-im-hit-C-2-stb_304_352.tgf.pl,1643602,324116,324116,42,324075
judgment-aggregation-ja-maxham-preflib-00049-00000003,145238,40290,672,41,632
judgment-aggregation-ja-maxham-preflib-00049-00000092,13378782,521192,521192,46,521147
judgment-aggregation-ja-maxham-preflib-00049-00000106,694,466,466,43,424
judgment-aggregation-ja-maxham-preflib-00049-00000511,649,372,372,46,327
judgment-aggregation-ja-maxham-preflib-00049-00000562,45996,12764,240,42,199
judgment-aggregation-ja-slater-preflib-00043-00000180,311985,40500,22275,306,21970
judgment-aggregation-ja-slater-preflib-00043-00000196,1081760,64000,38400,321,38080
judgment-aggregation-ja-slater-preflib-00049-00000107,907327,105922,72,300,-227
logic-synthesis-normalized-5xp1.b.opb.msat,45996,12764,240,12,229
logic-synthesis-normalized-9sym.b.opb.msat,45996,12764,240,5,236
logic-synthesis-normalized-alu4.b.opb.msat,0,241243,621323,50,621274
logic-synthesis-normalized-apex4.a.opb.msat,87447,35538,5609,776,4834
logic-synthesis-normalized-bench1.pi.opb.msat,2210772,2279,59,121,-61
logic-synthesis-normalized-clip.b.opb.msat,46798,12617,267,15,253
logic-synthesis-normalized-count.b.opb.msat,3848425,3016,71,24,48
logic-synthesis-normalized-e64.b.opb.msat,2120121,2236,57,47,11
logic-synthesis-normalized-ex5.pi.opb.msat,456351,164758,164758,65,164694
logic-synthesis-normalized-exam.pi.opb.msat,1187871,1666,50,63,-12
logic-synthesis-normalized-f51m.b.opb.msat,1098,545,45,18,28
logic-synthesis-normalized-jac3.opb.msat,892,214,129,15,115
logic-synthesis-normalized-max1024.pi.opb.msat,16520,4612,210,259,-48
logic-synthesis-normalized-sao2.b.opb.msat,16448,4588,210,25,186
max-realizability-power-distribution_5_2,3803532,341053,118,0,119
max-realizability-power-distribution_5_3,2019521,2184,60,0,61
max-realizability-power-distribution_5_4,464520,36000,21600,0,21601
max-realizability-power-distribution_5_5,716580,72000,39600,0,39601
max-realizability-power-distribution_5_6,0,277950,1221020,0,1221021
max-realizability-power-distribution_5_7,9765,6410,2755,0,2756
max-realizability-power-distribution_5_8,3900,900,355,0,356
MaxSATQueriesinInterpretableClassifiers-adult_test_9_CNF_2_1,2767158,2548,65,2308,-2242
MaxSATQueriesinInterpretableClassifiers-compas_train_5_DNF_5_1,435290,76000,39900,2097,37804
MaxSATQueriesinInterpretableClassifiers-heart_test_2_DNF_1_1,2646679,2494,65,15,51
MaxSATQueriesinInterpretableClassifiers-heart_test_7_DNF_5_1,2519183,2436,64,19,46
MaxSATQueriesinInterpretableClassifiers-heart_train_0_CNF_1_1,65280,5048,5048,63,4986
MaxSATQueriesinInterpretableClassifiers-heart_train_2_CNF_3_1,12303,8119,3667,41,3627
MaxSATQueriesinInterpretableClassifiers-ilpd_test_0_DNF_5_1,19681319,4940130,5532,31,5502
MaxSATQueriesinInterpretableClassifiers-parkinsons_test_9_DNF_2_1,16424,4580,210,8,203
MaxSATQueriesinInterpretableClassifiers-tictactoe_test_6_CNF_4_1,76910,10572,78,74,5
MaxSATQueriesinInterpretableClassifiers-titanic_test_9_CNF_5_1,4660,737,365,50,316
MaxSATQueriesinInterpretableClassifiers-titanic_train_2_DNF_3_1,25599,6708,210,244,-33
mbd-b14_C-mbd14-0377,134142,18508,78,24,55
mbd-b17_C-mbd14-0217,145238,40290,672,24,649
mbd-b20_C-mbd14-0281,335550,110100,50,16,35
mbd-b20_C-mbd14-0305,93208,11582,91,23,69
mbd-b20_C-mbd14-0349,160212,19982,91,22,70
mbd-b20_C-mbd14-0356,17049,3151,182,20,163
mbd-b21_C-mbd14-0205,1022,607,607,21,587
mbd-b21_C-mbd14-0286,2924772,98516,8790,20,8771
mbd-b21_C-mbd14-0368,46097,12764,139,22,118
mbd-b21_C-mbd14-0394,42663,1756,5376,23,5354
mbd-b22_C-mbd14-0207,1078058,333424,301,25,277
mbd-b22_C-mbd14-0249,403554,41820,300,20,281
mbd-b22_C-mbd14-0250,8780592,118038,118038,22,118017
mbd-b22_C-mbd14-0272,716580,72000,39600,28,39573
mbd-b22_C-mbd14-0308,1710,807,807,24,784
min-fill-MinFill_R0_mulsol.i.1,2860,660,260,142,119
min-fill-MinFill_R0_mulsol.i.3,25799,6768,210,240,-29
min-fill-MinFill_R0_myciel3,55700,7832,1200,10,1191
min-fill-MinFill_R0_myciel4,2037,436,436,46,391
min-fill-MinFill_R3_david,1169238,289958,2041,61,1981
min-fill-MinFill_R3_huck,30678,6412,792,2,791
min-fill-MinFill_R5_jean,509,4676,4676,11,4666
minimize-5gons-u5-cube-maxcdcl-11-tmp-15-2655746,1636,427,303,77,227
minimize-5gons-u5-cube-maxcdcl-12-tmp-15-2655746,164177,32696,2926,77,2850
minimize-5gons-u5-cube-maxcdcl-13-tmp-15-2655746,870,2459,2459,77,2383
minimize-5gons-u5-cube-maxcdcl-18-tmp-15-2655746,302134,79089,2926,77,2850
minimize-5gons-u5-cube-maxcdcl-19-tmp-15-2655746,180963,48829,2926,77,2850
minimize-5gons-u5-cube-maxcdcl-20-tmp-15-2655746,14234096,3413370,5255,77,5179
minimize-5gons-u5-cube-maxcdcl-23-tmp-15-2655746,259113,68630,2926,77,2850
minimize-5gons-u5-cube-maxcdcl-24-tmp-15-2655746,1249995,34756,4416,77,4340
minimize-5gons-u5-cube-maxcdcl-29-tmp-15-2655746,559275,6848,12988,77,12912
minimize-5gons-u5-cube-maxcdcl-32-tmp-15-2655746,1577,335,203,77,127
minimize-5gons-u5-cube-maxcdcl-36-tmp-15-2655746,66268,6706,640,77,564
minimize-5gons-u5-cube-maxcdcl-38-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-41-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-44-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-46-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-48-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-49-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-53-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-58-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-59-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-60-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-61-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-7-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-8-tmp-15-2655746,35041,3458,3003,77,2927
minimize-5gons-u5-cube-maxcdcl-9-tmp-15-2655746,35041,3458,3003,77,2927
mqc-10tree1001posib,35041,3458,3003,2,3002
mqc-10tree101posib,35041,3458,3003,2,3002
mqc-10tree102posib,35041,3458,3003,4,3000
mqc-10tree120p,35041,3458,3003,41,2963
mqc-10tree302p,35041,3458,3003,3,3001
mqc-10tree305p,35041,3458,3003,10,2994
mqc-10tree320p,35041,3458,3003,42,2962
mqc-10tree402p,35041,3458,3003,3,3001
mqc-10tree501p,35041,3458,3003,2,3002
mqc-10tree510p,35041,3458,3003,21,2983
mqc-10tree515p,35041,3458,3003,31,2973
mqc-10tree605posib,126827,7794,7794,9,7786
mqc-10tree620p,4675041,138563,138563,39,138525
mqc-10tree715p,46114,7095,1230,31,1200
mqc-10tree825p,30184,11642,7546,52,7495
optic-gen_add_4_carry_991,42812,4754,1336,56,1281
optic-gen_cvc-add3-bw3_299,1862,120,120,808,-687
optic-gen_cvc-add3-bw3_991,398,4676,4676,122,4555
optic-gen_cvc-add3-opt-bw3_299,2900,1584,1584,624,961
optic-gen_cvc-plus_4_991,9461,768,768,54,715
optic-gen_mult_3_5_33,148996,13687,2672,123,2550
optic-gen_mult_3_6_33,45210,1742,1742,144,1599
optic-gen_mult_3_6_399,34132,13050,8533,144,8390
optic-gen_square_5_33,4671353,138795,138795,135,138661
optimizing-BDDs-anneal-un-wcnf_incomplete_improved_1_2019_2,702017,182404,1571,139,1433
optimizing-BDDs-car-un-wcnf_incomplete_improved_1_2019_2,838946,145933,49770,250,49521
optimizing-BDDs-hypothyroid-un-wcnf_incomplete_improved_1_2019_2,47360,19918,11840,70,11771
optimizing-BDDs-primary-tumor-un-wcnf_incomplete_improved_1_2019_4,786399,138613,49770,49,49722
optimizing-BDDs-tic-tac-toe-un-wcnf_incomplete_improved_1_2019_2,700635,133956,49770,282,49489
packup-4ede8d96-c17a-11df-a7c5-00163e3d3b7c_l3,62792,11577,1768,631,1138
packup-7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3,767081,201204,1707,404,1304
packup-ff4a1d84-d490-11df-9e6c-00163e3d3b7c_l3,3333930,272310,11135,2236,8900
packup-rand172_l2,10734,2606,1256,670,587
packup-rand208_l2,72782,3550,6912,349,6564
packup-rand209_l2,1079,1278,1278,1199,80
packup-rand289_l2,282767,84025,84025,350,83676
packup-rand290_l2,30005,1538,289,1017,-727
packup-rand30_l2,51992,2034,3832,512,3321
packup-rand425_l2,7286,300,300,694,-393
packup-rand736_l2,10599,325,325,1232,-906
packup-rand874_l2,10618,325,325,863,-537
packup-rand892_l2,10680,325,325,1119,-793
packup-rand943_l2,10437,325,325,829,-503
packup-rand96_l2,195054,1711,1711,392,1320
planning-bnn-cellda_x_10,1259604,5886,5886,9,5878
planning-bnn-cellda_x_12,1442784,6441,6441,9,6433
planning-bnn-cellda_y_8,75639,10864,8091,6,8086
planning-bnn-cellda_y_9,77989,11030,8328,6,8323
planning-bnn-navigation_3x3_4,985,700,700,4,697
planning-bnn-navigation_3x3_5,1122587,455520,356,4,353
planning-bnn-navigation_3x3_6,787237,455532,368,4,365
planning-bnn-navigation_4x4_5,75610,10885,8129,5,8125
planning-bnn-navigation_4x4_7,1733728,57004,9304,5,9300
planning-bnn-navigation_5x5_9,57545,21000,4297,8,4290
planning-bnn-sysadmin_4_2,17899,450,450,0,451
planning-bnn-sysadmin_4_3,17897,450,450,2,449
planning-bnn-sysadmin_4_4,17875,450,450,3,448
privilege-escalation-cloud_access_control_repair_task-117,116088,1747,550,12,539
privilege-escalation-cloud_access_control_repair_task-130,27953,595,595,36,560
privilege-escalation-cloud_access_control_repair_task-134,28036,595,595,6,590
privilege-escalation-cloud_access_control_repair_task-139,27934,595,595,16,580
privilege-escalation-cloud_access_control_repair_task-141,28221,595,595,27,569
privilege-escalation-cloud_access_control_repair_task-146,24390,666,666,8,659
privilege-escalation-cloud_access_control_repair_task-149,3338,1584,1584,4,1581
privilege-escalation-cloud_access_control_repair_task-15,96927,42780,5275,67,5209
privilege-escalation-cloud_access_control_repair_task-157,76700,11120,8272,3,8270
privilege-escalation-cloud_access_control_repair_task-161,26368,703,703,0,704
privilege-escalation-cloud_access_control_repair_task-163,75443,10793,8100,9,8092
privilege-escalation-cloud_access_control_repair_task-174,26268,703,703,3,701
privilege-escalation-cloud_access_control_repair_task-178,4807,1436,1436,20,1417
privilege-escalation-cloud_access_control_repair_task-18,41413,760,760,6,755
privilege-escalation-cloud_access_control_repair_task-198,41367,760,760,0,761
privilege-escalation-cloud_access_control_repair_task-34,41725,760,760,25,736
privilege-escalation-cloud_access_control_repair_task-35,41739,760,760,9,752
privilege-escalation-cloud_access_control_repair_task-37,30552,780,780,7,774
privilege-escalation-cloud_access_control_repair_task-47,7571,4316,4316,24,4293
privilege-escalation-cloud_access_control_repair_task-54,7444,1600,1600,19,1582
privilege-escalation-cloud_access_control_repair_task-56,7444,1600,1600,9,1592
privilege-escalation-cloud_access_control_repair_task-61,7444,1600,1600,16,1585
privilege-escalation-cloud_access_control_repair_task-73,7844,1600,1600,31,1570
privilege-escalation-cloud_access_control_repair_task-87,7844,1600,1600,14,1587
privilege-escalation-cloud_access_control_repair_task-92,7844,1600,1600,3,1598
program-disambiguation-Q16_OPTIONS_2,7844,1600,1600,0,1601
program-disambiguation-Q2_OPTIONS_1,4533,1584,1584,0,1585
program-disambiguation-Q20_YESNO_3,32996,820,820,1,820
program-disambiguation-Q27_YESNO_1,82040,11836,8932,2,8931
program-disambiguation-Q29_YESNO_1,35865,861,861,1,861
program-disambiguation-Q35_OPTIONS_1,75461,10733,8101,0,8102
program-disambiguation-Q36_YESNO_1,38330,903,903,0,904
program-disambiguation-Q38_YESNO_3,3267,2030,2030,1,2030
program-disambiguation-Q4_YESNO_2,3356,2030,2030,1,2030
program-disambiguation-Q42_YESNO_3,79839,11530,8602,1,8602
program-disambiguation-Q42_YESNO_4,46378,7264,5110,2,5109
program-disambiguation-Q43_YESNO_3,76142,11073,8129,1,8129
program-disambiguation-Q45_YESNO_4,46723,7122,5165,0,5166
program-disambiguation-Q50_YESNO_6,4151,2726,2726,0,2727
program-disambiguation-Q6_YESNO_3,72037,1378,1378,0,1379
protein_ins-1bpi_.2knt_.g.wcnf.t,76263,1431,1431,35,1397
protein_ins-1bpi_.5pti_.g.wcnf.t,4896,3002,3002,29,2974
protein_ins-1knt_.1bpi_.g.wcnf.t,41160,12962,10290,35,10256
protein_ins-1knt_.2knt_.g.wcnf.t,14425,3862,3862,16,3847
protein_ins-1knt_.5pti_.g.wcnf.t,8060,8104,2055,29,2027
protein_ins-1vii_.1cph_.g.wcnf.t,123120,21209,6584,7,6578
protein_ins-2knt_.5pti_.g.wcnf.t,133989,62441,7721,32,7690
protein_ins-3ebx_.1era_.g.wcnf.t,63656,8488,3544,34,3511
protein_ins-3ebx_.6ebx_.g.wcnf.t,8393,8349,3174,23,3152
protein_ins-6ebx_.1era_.g.wcnf.t,15666,15851,3196,30,3167
protein_ins-p1.wcnf.t,16269,16474,3326,35,3292
protein_ins-sandiaprotein.g.wcnf.t,394946,4278,4278,28,4251
pseudoBoolean-normalized-aim-200-3_4-yes1-1.opb.msat,15799,15843,4311,200,4112
pseudoBoolean-normalized-aim-200-6_0-yes1-2.opb.msat,449088,4656,4656,200,4457
pseudoBoolean-normalized-g9x3.opb.msat,31094,31201,5583,7,5577
